"BusinessLineKey","Workspace","MenuRoot","Feature","ServiceOrApiFeature","UIExposureType","UIRouteOrPath","UIEntryPoint","PermissionReference","LicenseGate","CoverageStatus","Notes"
"catering","Catering","Catering","Dashboard","GET /api/v1/catering/dashboard; ICateringService.GetDashboardAsync","Page","/Catering/Dashboard","Catering workspace > Dashboard","CateringReportsPermissions.View","BusinessLineKeys.Catering","Covered","Standalone dashboard page and workspace default route."
"catering","Catering","Catering","Meals","GET/POST/PUT/DELETE /api/v1/catering/meals; ICateringService meal CRUD","Page","/Catering/Meals","Catering workspace > Meals","CateringMealPermissions.View/Create/Edit/Delete","BusinessLineKeys.Catering","Covered","List page includes create, edit, and delete actions."
"catering","Catering","Catering","Meal components","POST/DELETE /api/v1/catering/meals/{id}/components; AddMealComponentAsync/DeleteMealComponentAsync","Inline Action","/Catering/Meals","Meal row Components action and selected meal component panel","CateringMealPermissions.Edit","BusinessLineKeys.Catering","Covered","Inline component management is reachable from the Meals page."
"catering","Catering","Catering","Contracts","GET/POST/PUT/DELETE /api/v1/catering/contracts; ICateringService contract CRUD","Page","/Catering/Contracts","Catering workspace > Contracts","CateringContractPermissions.View/Create/Edit/Delete","BusinessLineKeys.Catering","Covered","Contracts page includes list, create, edit, select, close, and delete actions."
"catering","Catering","Catering","Contract addendums","POST /api/v1/catering/contracts/{id}/addendums; AddAddendumAsync","Inline Action","/Catering/Contracts","Selected contract addendum form","CateringContractPermissions.Addendum","BusinessLineKeys.Catering","Covered","Workflow exposed as an inline addendum action on the Contracts page."
"catering","Catering","Catering","Contract close","PUT /api/v1/catering/contracts/{id}/close; CloseContractAsync","Inline Action","/Catering/Contracts","Contract row close action","CateringContractPermissions.Close","BusinessLineKeys.Catering","Covered","Workflow exposed as a visible row action."
"catering","Catering","Catering","Locations - areas","GET/POST/PUT /api/v1/catering/areas; GetAreasAsync/CreateAreaAsync/UpdateAreaAsync","Page","/Catering/Locations","Catering workspace > Locations","CateringLocationPermissions.View/Create/Edit","BusinessLineKeys.Catering","Covered","Locations page includes area create, edit, and deactivate via update."
"catering","Catering","Catering","Locations - squares","GET/POST/PUT /api/v1/catering/squares; GetSquaresAsync/CreateSquareAsync/UpdateSquareAsync","Inline Action","/Catering/Locations","Squares section on Locations page","CateringLocationPermissions.View/Create/Edit","BusinessLineKeys.Catering","Covered","Squares are managed in the same Locations page."
"catering","Catering","Catering","Schedules","GET/POST/PUT /api/v1/catering/schedules; GetSchedulesAsync/CreateScheduleAsync/UpdateScheduleAsync","Page","/Catering/Schedules","Catering workspace > Schedules","CateringSchedulePermissions.View/Create/Edit","BusinessLineKeys.Catering","Covered","Schedules page includes filtering, create, and edit workflows."
"catering","Catering","Catering","Schedule allocations","POST /api/v1/catering/schedules/{id}/allocations; CreateAllocationAsync","Inline Action","/Catering/Schedules","Selected schedule allocation form","CateringDistributionPermissions.Edit","BusinessLineKeys.Catering","Covered","Allocation workflow exposed from the Schedules page."
"catering","Catering","Catering","Allocation actuals","PUT /api/v1/catering/allocations/{id}/actuals; RecordAllocationActualsAsync","Inline Action","/Catering/Schedules","Allocation actuals edit action","CateringDistributionPermissions.Edit","BusinessLineKeys.Catering","Covered","Actuals workflow exposed from the Schedules page."
"catering","Catering","Catering","Deliveries","GET/POST /api/v1/catering/deliveries; GetDeliveriesAsync/CreateDeliveryAsync","Page","/Catering/Deliveries","Catering workspace > Deliveries","CateringDeliveryPermissions.View/Create","BusinessLineKeys.Catering","Covered","Deliveries page includes list and delivery record form."
"catering","Catering","Catering","Assignments","GET/POST/PUT/DELETE /api/v1/catering/assignments; ICateringService assignment CRUD","Page","/Catering/Assignments","Catering workspace > Assignments","CateringAssignmentPermissions.View/Create/Edit/Delete","BusinessLineKeys.Catering","Covered","Assignments page includes list, filters, create, edit, and delete."
"catering","Catering","Catering","Operations report","GET /api/v1/catering/reports/operations; GetOperationsReportAsync","Page","/Catering/Reports","Catering workspace > Reports","CateringReportsPermissions.View","BusinessLineKeys.Catering","Covered","Reports page exposes contract/date filters and report rows."
